INFO  - 2017-11-01 09:46:01.914; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2017-11-01 09:46:01.917; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2017-11-01 09:46:01.918; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2017-11-01 09:46:01.927; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/jack/software/solr-4.7.0/example/solr/collection1/data
INFO  - 2017-11-01 09:46:01.928; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/jack/software/solr-4.7.0/example/solr/collection1/data/index/
WARN  - 2017-11-01 09:46:01.928; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/jack/software/solr-4.7.0/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2017-11-01 09:46:01.937; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/jack/software/solr-4.7.0/example/solr/collection1/data/index
INFO  - 2017-11-01 09:46:01.971; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/jack/software/solr-4.7.0/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/jack/software/solr-4.7.0/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-11-01 09:46:01.971; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-11-01 09:46:01.974; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2017-11-01 09:46:01.974; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2017-11-01 09:46:01.975; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2017-11-01 09:46:01.977; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2017-11-01 09:46:01.977; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2017-11-01 09:46:02.034; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2017-11-01 09:46:02.039; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2017-11-01 09:46:02.040; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2017-11-01 09:46:02.041; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2017-11-01 09:46:02.041; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2017-11-01 09:46:02.042; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2017-11-01 09:46:02.043; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2017-11-01 09:46:02.043; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2017-11-01 09:46:02.043; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2017-11-01 09:46:02.043; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2017-11-01 09:46:02.044; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2017-11-01 09:46:02.044; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2017-11-01 09:46:02.044; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2017-11-01 09:46:02.044; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2017-11-01 09:46:02.045; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2017-11-01 09:46:02.047; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2017-11-01 09:46:02.048; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2017-11-01 09:46:02.057; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2017-11-01 09:46:02.057; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-11-01 09:46:02.057; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2017-11-01 09:46:02.057; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-11-01 09:46:02.058; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2017-11-01 09:46:02.058; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-11-01 09:46:02.058; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2017-11-01 09:46:02.058; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-11-01 09:46:02.058; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2017-11-01 09:46:02.058; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-11-01 09:46:02.058; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2017-11-01 09:46:02.073; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-11-01 09:46:02.075; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-11-01 09:46:02.075; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-11-01 09:46:02.088; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2017-11-01 09:46:02.089; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2017-11-01 09:46:02.107; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/jack/software/solr-4.7.0/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/jack/software/solr-4.7.0/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-11-01 09:46:02.108; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-11-01 09:46:02.114; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@10b97067[collection1] main
INFO  - 2017-11-01 09:46:02.118; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2017-11-01 09:46:02.122; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2017-11-01 09:46:02.127; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2017-11-01 09:46:02.128; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2017-11-01 09:46:02.130; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2017-11-01 09:46:02.140; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2017-11-01 09:46:02.142; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /Users/jack/software/solr-4.7.0/example/solr/collection1/conf/elevate.xml
INFO  - 2017-11-01 09:46:02.160; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2017-11-01 09:46:02.160; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@10b97067[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2017-11-01 09:46:02.160; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2017-11-01 09:46:02.162; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Users/jack/software/solr-4.7.0/example
INFO  - 2017-11-01 09:46:02.162; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2017-11-01 09:46:02.199; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2017-11-01 09:46:02.204; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=43 
INFO  - 2017-11-01 09:46:02.204; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2017-11-01 09:46:02.205; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2017-11-01 09:46:02.205; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2017-11-01 09:46:02.205; org.apache.solr.handler.component.SuggestComponent$SuggesterListener; Loading suggester index for: mySuggester
INFO  - 2017-11-01 09:46:02.205; org.apache.solr.spelling.suggest.SolrSuggester; reload()
INFO  - 2017-11-01 09:46:02.205; org.apache.solr.spelling.suggest.SolrSuggester; build()
INFO  - 2017-11-01 09:46:02.212; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@10b97067[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2017-11-01 09:47:31.339; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1509500851332} status=0 QTime=2 
INFO  - 2017-11-01 09:47:31.388; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={wt=json&_=1509500851356} status=0 QTime=29 
INFO  - 2017-11-01 09:59:50.904; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1509501590900} status=0 QTime=0 
INFO  - 2017-11-01 09:59:50.935; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={wt=json&_=1509501590916} status=0 QTime=15 
INFO  - 2017-11-01 14:17:17.085; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2017-11-01 14:17:17.086; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/Users/jack/software/solr-4.7.0/example/solr-webapp/webapp/},/Users/jack/software/solr-4.7.0/example/webapps/solr.war
INFO  - 2017-11-01 14:17:18.090; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=812586739
INFO  - 2017-11-01 14:17:18.090; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@1a35c8e0
INFO  - 2017-11-01 14:17:18.091; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0,transaction_logs_total_size=0,transaction_logs_total_number=0}
INFO  - 2017-11-01 14:17:18.092; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2017-11-01 14:17:18.092; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2017-11-01 14:17:18.092; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2017-11-01 14:17:18.096; org.apache.solr.core.SolrCore; [collection1] Closing main searcher on request.
INFO  - 2017-11-01 14:17:18.097; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
